use_start_time,人数,销量
2016-08-01,129,9673
2016-08-02,65,6260
2016-08-03,96,7053
2016-08-04,66,7660
2016-08-05,104,9300
2016-08-06,386,33856
2016-08-07,329,31793
2016-08-08,75,6579
2016-08-09,76,7391
2016-08-10,108,10294
2016-08-11,95,7344
2016-08-12,93,7473
2016-08-13,354,33384
2016-08-14,321,32994
2016-08-15,103,10433
2016-08-16,54,4447
2016-08-17,109,9541
2016-08-18,114,10117
2016-08-19,110,10965
2016-08-20,448,41345
2016-08-21,329,36270
2016-08-22,89,6835
2016-08-23,81,7911
2016-08-24,80,6231
2016-08-25,59,6867
2016-08-26,105,10015
2016-08-27,349,32107
2016-08-28,377,38132
2016-08-29,70,6724
2016-08-30,59,7057
2016-08-31,93,9163
