name,iso_a3,currency_code,local_price,dollar_ex,date
Canada,CAN,CAD,2.85,1.47,2000/4/1
Chile,CHL,CLP,1260.0,514.0,2000/4/1
China,CHN,CNY,9.9,8.28,2000/4/1
Czech Republic,CZE,CZK,54.37,39.1,2000/4/1
Denmark,DNK,DKK,24.75,8.04,2000/4/1
Euro area,EUZ,EUR,2.56,1.075268817,2000/4/1
Hong Kong,HKG,HKD,10.2,7.79,2000/4/1
Hungary,HUN,HUF,339.0,279.0,2000/4/1
Indonesia,IDN,IDR,14500.0,7945.0,2000/4/1
Israel,ISR,ILS,14.5,4.05,2000/4/1
Japan,JPN,JPY,294.0,106.0,2000/4/1
Malaysia,MYS,MYR,4.52,3.8,2000/4/1
Mexico,MEX,MXN,20.9,9.41,2000/4/1
New Zealand,NZL,NZD,3.4,2.01,2000/4/1
Poland,POL,PLN,5.5,4.3,2000/4/1
Russia,RUS,RUB,39.5,28.5,2000/4/1
Singapore,SGP,SGD,3.2,1.7,2000/4/1
South Africa,ZAF,ZAR,9.0,6.72,2000/4/1
South Korea,KOR,KRW,3000.0,1108.0,2000/4/1
Sweden,SWE,SEK,24.0,8.84,2000/4/1
Switzerland,CHE,CHF,5.9,1.7,2000/4/1
Taiwan,TWN,TWD,70.0,30.6,2000/4/1
Thailand,THA,THB,55.0,38.0,2000/4/1
United States,USA,USD,2.51,1.0,2000/4/1
Argentina,ARG,ARS,2.5,1.0,2001/4/1
Australia,AUS,AUD,3.0,1.98,2001/4/1
Brazil,BRA,BRL,3.6,2.19,2001/4/1
Britain,GBR,GBP,1.99,0.699300699,2001/4/1
Canada,CAN,CAD,3.33,1.56,2001/4/1
Hong Kong,HKG,HKD,10.7,7.8,2001/4/1
Hungary,HUN,HUF,399.0,303.0,2001/4/1
Indonesia,IDN,IDR,14700.0,10855.0,2001/4/1
Japan,JPN,JPY,294.0,124.0,2001/4/1
Malaysia,MYS,MYR,4.52,3.8,2001/4/1
Mexico,MEX,MXN,21.9,9.29,2001/4/1
New Zealand,NZL,NZD,3.6,2.47,2001/4/1
Philippines,PHL,PHP,59.0,50.3,2001/4/1
Poland,POL,PLN,5.9,4.03,2001/4/1
Russia,RUS,RUB,35.0,28.9,2001/4/1
Singapore,SGP,SGD,3.3,1.81,2001/4/1
South Africa,ZAF,ZAR,9.7,8.13,2001/4/1
South Korea,KOR,KRW,3000.0,1325.0,2001/4/1
Sweden,SWE,SEK,24.0,10.28,2001/4/1
Switzerland,CHE,CHF,6.3,1.73,2001/4/1
Taiwan,TWN,TWD,70.0,32.9,2001/4/1
Canada,CAN,CAD,3.33,1.57,2002/4/1
Chile,CHL,CLP,1400.0,655.0,2002/4/1
China,CHN,CNY,10.5,8.28,2002/4/1
Czech Republic,CZE,CZK,56.28,34.0,2002/4/1
Denmark,DNK,DKK,24.75,8.38,2002/4/1
Japan,JPN,JPY,262.0,130.0,2002/4/1
Malaysia,MYS,MYR,5.04,3.8,2002/4/1
Mexico,MEX,MXN,21.9,9.28,2002/4/1
New Zealand,NZL,NZD,3.6,2.24,2002/4/1
Norway,NOR,NOK,35.0,8.56,2002/4/1
Peru,PER,PEN,8.5,3.43,2002/4/1
Philippines,PHL,PHP,65.0,51.0,2002/4/1
Switzerland,CHE,CHF,6.3,1.66,2002/4/1
Taiwan,TWN,TWD,70.0,34.8,2002/4/1
Thailand,THA,THB,55.0,43.3,2002/4/1
Turkey,TUR,TRY,4000000.0,1324500.0,2002/4/1
United States,USA,USD,2.49,1.0,2002/4/1
Venezuela,VEN,VEF,2500.0,857.0,2002/4/1
Argentina,ARG,ARS,4.1,2.88,2003/4/1
Australia,AUS,AUD,3.0,1.61,2003/4/1
Brazil,BRA,BRL,4.55,3.07,2003/4/1
Czech Republic,CZE,CZK,56.57,28.9,2003/4/1
Denmark,DNK,DKK,27.75,6.78,2003/4/1
Egypt,EGY,EGP,8.0,5.92,2003/4/1
Euro area,EUZ,EUR,2.71,0.9090909090000001,2003/4/1
Hong Kong,HKG,HKD,11.5,7.8,2003/4/1
Hungary,HUN,HUF,490.0,224.0,2003/4/1
Indonesia,IDN,IDR,16100.0,8740.0,2003/4/1
Japan,JPN,JPY,262.0,120.0,2003/4/1
Malaysia,MYS,MYR,5.04,3.8,2003/4/1
Mexico,MEX,MXN,23.0,10.53,2003/4/1
New Zealand,NZL,NZD,3.95,1.78,2003/4/1
Peru,PER,PEN,7.9,3.46,2003/4/1
Philippines,PHL,PHP,65.0,52.5,2003/4/1
Poland,POL,PLN,6.3,3.89,2003/4/1
Russia,RUS,RUB,41.0,31.1,2003/4/1
Singapore,SGP,SGD,3.3,1.78,2003/4/1
South Africa,ZAF,ZAR,13.95,7.56,2003/4/1
South Korea,KOR,KRW,3300.0,1220.0,2003/4/1
Sweden,SWE,SEK,30.0,8.34,2003/4/1
Switzerland,CHE,CHF,6.3,1.37,2003/4/1
Taiwan,TWN,TWD,70.0,34.8,2003/4/1
Thailand,THA,THB,59.0,42.7,2003/4/1
Turkey,TUR,TRY,3750000.0,1600500.0,2003/4/1
United States,USA,USD,2.71,1.0,2003/4/1
Venezuela,VEN,VEF,3700.0,1598.0,2003/4/1
Argentina,ARG,ARS,4.36,2.95,2004/5/1
Australia,AUS,AUD,3.25,1.43,2004/5/1
Brazil,BRA,BRL,5.4,3.18,2004/5/1
Britain,GBR,GBP,1.88,0.558659218,2004/5/1
Canada,CAN,CAD,3.19,1.37,2004/5/1
Chile,CHL,CLP,1400.0,641.0,2004/5/1
China,CHN,CNY,10.4,8.28,2004/5/1
Colombia,COL,COP,6500.0,2769.83,2004/5/1
Costa Rica,CRI,CRC,1130.0,433.55,2004/5/1
Czech Republic,CZE,CZK,56.42,26.5,2004/5/1
Denmark,DNK,DKK,27.75,6.22,2004/5/1
Egypt,EGY,EGP,10.0,6.19,2004/5/1
Euro area,EUZ,EUR,2.74,0.833333333,2004/5/1
Hong Kong,HKG,HKD,12.0,7.79,2004/5/1
Hungary,HUN,HUF,530.0,211.0,2004/5/1
New Zealand,NZL,NZD,4.35,1.64,2004/5/1
Norway,NOR,NOK,35.5,6.8491,2004/5/1
Pakistan,PAK,PKR,110.0,57.76,2004/5/1
Peru,PER,PEN,8.99,3.49,2004/5/1
Philippines,PHL,PHP,69.0,55.9,2004/5/1
Poland,POL,PLN,6.3,3.87,2004/5/1
Russia,RUS,RUB,42.0,29.0,2004/5/1
Saudi Arabia,SAU,SAR,2.4,3.7502,2004/5/1
Singapore,SGP,SGD,3.3,1.71,2004/5/1
South Africa,ZAF,ZAR,12.4,6.66,2004/5/1
