dress_id,style,price,rating,dress_size,season,neckline,sleeve_length,waistline,material,pattern_type,recommendation
1006032852,Sexy,Low,4.6,M,Summer,o-neck,sleeveless,empire,,animal,1
1212192089,Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,animal,0
1190380701,vintage,High,0,L,Autumn,o-neck,full,natural,polyster,print,0
966005983,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,print,1
876339541,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,dot,0
1068332458,bohemian,Low,0,M,Summer,v-neck,sleeveless,empire,,print,0
1220707172,Casual,Average,0,XL,Summer,o-neck,full,,cotton,solid,0
1219677488,Novelty,Average,0,free,Autumn,o-neck,short,natural,polyster,,0
1113094204,Flare,Average,0,free,Spring,v-neck,short,empire,cotton,solid,1
985292672,bohemian,Low,0,free,Summer,v-neck,sleeveless,natural,nylon,,1
1117293701,party,Average,5,free,Summer,o-neck,full,natural,polyster,solid,0
898481530,Flare,Average,0,free,Spring,v-neck,short,,nylon,animal,0
957723897,Sexy,Low,4.7,M,Winter,o-neck,threequarter,,,print,1
749031896,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,animal,1
1055411544,Casual,Low,5,M,Summer,boat-neck,short,,cotton,solid,0
1162628131,Casual,Low,0,free,Winter,boat-neck,full,,,,0
624314841,cute,Average,4.7,L,Spring,o-neck,short,,cotton,solid,1
830467746,bohemian,Medium,5,free,Autumn,o-neck,full,natural,,patchwork,1
840857118,Brief,Average,0,M,Winter,peterpan-collar,threequarter,natural,cotton,patchwork,0
1113221101,Sexy,Average,5,M,Autumn,o-neck,sleeveless,empire,milksilk,,1
861754372,Sexy,Average,4.5,L,Autumn,o-neck,full,,cotton,solid,0
856178100,Casual,Low,4.3,M,Summer,o-neck,sleeveless,natural,,solid,0
1122989777,Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,solid,0
840516484,Sexy,Average,4.7,S,Summer,v-neck,sleeveless,empire,cotton,solid,1
768517084,Sexy,Average,0,free,Autumn,v-neck,sleeveless,natural,polyster,patchwork,0
1139843344,Sexy,Average,0,M,Autumn,o-neck,sleeveless,empire,cotton,print,0
1004212992,Sexy,Average,4.7,M,Spring,o-neck,sleeveless,natural,,solid,1
1235426503,Casual,Low,0,L,Summer,o-neck,sleeveless,natural,cotton,print,0
942808364,cute,Low,4.3,free,Autumn,o-neck,sleeveless,natural,polyster,striped,0
629131530,cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,dot,1
851945460,Casual,Average,4.6,L,Autumn,o-neck,sleeveless,empire,polyster,solid,0
1150275464,Casual,Low,0,M,Spring,o-neck,sleeveless,natural,silk,solid,1
1026634314,Casual,Average,4.4,L,Autumn,o-neck,sleeveless,natural,linen,animal,0
978773911,Brief,Average,4.3,L,Spring,o-neck,sleeveless,empire,,solid,1
827791337,party,High,4.7,M,Spring,o-neck,threequarter,,,print,0
640823350,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,patchwork,1
801861988,vintage,Average,4.6,free,Winter,o-neck,full,natural,,print,1
1060207186,Brief,Average,0,M,Autumn,o-neck,short,natural,cotton,print,0
1054679816,party,Average,4.6,M,Winter,o-neck,sleeveless,natural,cotton,solid,1
941190190,Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,solid,1
943844640,Brief,Average,5,free,Spring,v-neck,sleeveless,natural,cotton,solid,1
661795386,Brief,Low,4.4,L,Autumn,o-neck,halfsleeve,natural,rayon,solid,0
875312593,Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,patchwork,0
971387676,Casual,Low,4.8,free,Spring,o-neck,sleeveless,natural,cotton,print,0
