,2020-06-21,2020-06-21pv,2020-06-21ratio,2020-06-21sim,2020-06-28,2020-06-28pv,2020-06-28ratio,2020-06-28sim,2020-07-05,2020-07-05pv,2020-07-05ratio,2020-07-05sim,2020-07-12,2020-07-12pv,2020-07-12ratio,2020-07-12sim,2020-07-19,2020-07-19pv,2020-07-19ratio,2020-07-19sim,2020-07-26,2020-07-26pv,2020-07-26ratio,2020-07-26sim,2020-08-02,2020-08-02pv,2020-08-02ratio,2020-08-02sim,2020-08-09,2020-08-09pv,2020-08-09ratio,2020-08-09sim,2020-08-16,2020-08-16pv,2020-08-16ratio,2020-08-16sim,2020-08-23,2020-08-23pv,2020-08-23ratio,2020-08-23sim,2020-08-30,2020-08-30pv,2020-08-30ratio,2020-08-30sim,2020-09-06,2020-09-06pv,2020-09-06ratio,2020-09-06sim,2020-09-13,2020-09-13pv,2020-09-13ratio,2020-09-13sim,2020-09-20,2020-09-20pv,2020-09-20ratio,2020-09-20sim,2020-09-27,2020-09-27pv,2020-09-27ratio,2020-09-27sim,2020-10-04,2020-10-04pv,2020-10-04ratio,2020-10-04sim,2020-10-11,2020-10-11pv,2020-10-11ratio,2020-10-11sim,2020-10-18,2020-10-18pv,2020-10-18ratio,2020-10-18sim,2020-10-25,2020-10-25pv,2020-10-25ratio,2020-10-25sim,2020-11-01,2020-11-01pv,2020-11-01ratio,2020-11-01sim,2020-11-08,2020-11-08pv,2020-11-08ratio,2020-11-08sim,2020-11-15,2020-11-15pv,2020-11-15ratio,2020-11-15sim,2020-11-22,2020-11-22pv,2020-11-22ratio,2020-11-22sim,2020-11-29,2020-11-29pv,2020-11-29ratio,2020-11-29sim,2020-12-06,2020-12-06pv,2020-12-06ratio,2020-12-06sim,2020-12-13,2020-12-13pv,2020-12-13ratio,2020-12-13sim,2020-12-20,2020-12-20pv,2020-12-20ratio,2020-12-20sim,2020-12-27,2020-12-27pv,2020-12-27ratio,2020-12-27sim,2021-01-03,2021-01-03pv,2021-01-03ratio,2021-01-03sim,2021-01-10,2021-01-10pv,2021-01-10ratio,2021-01-10sim,2021-01-17,2021-01-17pv,2021-01-17ratio,2021-01-17sim,2021-01-31,2021-01-31pv,2021-01-31ratio,2021-01-31sim,2021-02-07,2021-02-07pv,2021-02-07ratio,2021-02-07sim,2021-02-14,2021-02-14pv,2021-02-14ratio,2021-02-14sim,2021-02-21,2021-02-21pv,2021-02-21ratio,2021-02-21sim,2021-02-28,2021-02-28pv,2021-02-28ratio,2021-02-28sim,2021-03-07,2021-03-07pv,2021-03-07ratio,2021-03-07sim,2021-03-14,2021-03-14pv,2021-03-14ratio,2021-03-14sim,2021-03-21,2021-03-21pv,2021-03-21ratio,2021-03-21sim,2021-03-28,2021-03-28pv,2021-03-28ratio,2021-03-28sim,2021-04-04,2021-04-04pv,2021-04-04ratio,2021-04-04sim,2021-04-11,2021-04-11pv,2021-04-11ratio,2021-04-11sim,2021-04-18,2021-04-18pv,2021-04-18ratio,2021-04-18sim,2021-04-25,2021-04-25pv,2021-04-25ratio,2021-04-25sim,2021-05-02,2021-05-02pv,2021-05-02ratio,2021-05-02sim,2021-05-09,2021-05-09pv,2021-05-09ratio,2021-05-09sim,2021-05-16,2021-05-16pv,2021-05-16ratio,2021-05-16sim,2021-05-23,2021-05-23pv,2021-05-23ratio,2021-05-23sim,2021-05-30,2021-05-30pv,2021-05-30ratio,2021-05-30sim,2021-06-06,2021-06-06pv,2021-06-06ratio,2021-06-06sim
0,特斯拉汽车价格,2526,94,1104,特斯拉汽车价格,3726,148,1619,特斯拉MODEL X,4744,97,1070,吴碧瑄,1932,89,905,特斯拉跑车,6108,163,1671,特斯拉跑车,5052,83,1567,特斯拉跑车,4476,89,1463,特斯拉跑车,4170,93,1417,特斯拉电动汽车,5988,71,1070,特斯拉MODEL X,5736,73,1047,特斯拉多少钱,6192,87,717,特斯拉降价,6752,46,1280,特斯拉多少钱,4464,77,714,特斯拉 MODEL 3,7046,107,731,埃隆·马斯克,5670,64,1506,特斯拉跑车,3270,85,1099,TSL,5238,114,668,最便宜的特斯拉多少钱,4642,63,1421,吴碧瑄,1678.0,93.0,844.0,最便宜的特斯拉多少钱,1288,45,812,特斯拉降价,2938,85,883,特斯拉降价,3416,116,905,特斯拉跑车,2822,103,1161,特斯拉SUV,3466,110,773,特斯拉降价,3184,112,829,特斯拉降价,3148,99,831,特斯拉降价,3644,116,1040,特斯拉电动汽车,5578,102,872,尼古拉·特斯拉,9260.0,133.0,806.0,特斯拉跑车,3754.0,90.0,1056.0,特斯拉多少钱,4558.0,104.0,629.0,特斯拉SUV,2828.0,88.0,757.0,特斯拉跑车,3766.0,127.0,1447.0,特斯拉SUV,3492.0,120.0,745.0,特斯拉Y,4898,114,581,特斯拉降价,3782,82,730,特斯拉多少钱,5560,122,710,特斯拉跑车,2634.0,85.0,1079.0,特斯拉电动汽车,3100,85,912,特斯拉Y,3522,87,603,特斯拉自动驾驶,3038,95,544,特斯拉多少钱一辆,4344,89,609,特斯拉跑车,6852.0,271.0,933.0,特斯拉电动汽车,5626,54,1091,特斯拉图片,3720,64,705,特斯拉图片,2538,68,713,特斯拉图片,2938,116,817,特斯拉跑车,2580,102,1150,特斯拉刹车失灵,3146,71,735,特斯拉降价,1632,194,622
1,特斯拉跑车,3024,105,1207,特斯拉MODEL X,4908,91,919,特斯拉电动汽车,6084,71,1205,特斯拉中国,2416,87,673,特斯拉皮卡,6348,92,745,特斯拉皮卡,5800,91,700,尼古拉·特斯拉,6434,91,1271,特斯拉 MODEL 3,5618,145,665,特斯拉MODEL X,7906,118,1180,特斯拉电动汽车,6100,102,1066,特斯拉MODEL X,6750,118,1143,特斯拉MODEL X,6996,104,1107,特斯拉降价,4774,71,1254,最便宜的特斯拉多少钱,8166,104,2258,特斯拉中国,6372,242,1019,特斯拉SUV,4996,93,677,特斯拉电动汽车,6400,91,1203,特斯拉 MODEL 3,5480,123,811,TESILA,2038.0,92.0,623.0,吴碧瑄,1848,110,845,特斯拉SUV,3354,94,722,特斯拉多少钱,4270,114,638,特斯拉 MODEL 3,4318,99,860,特斯拉 MODEL 3,3880,90,885,特斯拉 MODEL 3,4000,103,850,特斯拉SUV,3540,95,793,特斯拉 MODEL 3,3746,103,739,TESILA,7332,441,692,特斯拉汽车,14616.0,153.0,824.0,特斯拉汽车,9228.0,63.0,835.0,特斯拉Y,6892.0,69.0,736.0,特斯拉跑车,2968.0,92.0,1200.0,特斯拉Y,4220.0,87.0,642.0,特斯拉电动汽车,3676.0,82.0,898.0,特斯拉多少钱一辆,5392,80,768,特斯拉Y,4452,91,602,TSL,5598,101,630,特斯拉SUV,2880.0,93.0,674.0,特斯拉MODEL3售价22万,3614,81,830,特斯拉ROADSTER,3764,229,1336,特斯拉电动汽车,3766,88,913,特斯拉多少钱,4678,99,753,特斯拉中国,7118.0,362.0,690.0,特斯拉图片,5844,28,716,特斯拉2020款新款报价,4324,63,1850,特斯拉跑车,2660,82,1182,特斯拉自燃,5144,381,821,特斯拉自动驾驶,2752,52,690,特斯拉标志,3892,80,692,特斯拉中国,1862,106,796
2,特斯拉SUV,3234,105,818,尼古拉·特斯拉,5586,101,786,尼古拉·特斯拉,6218,111,1493,特斯拉跑车,3754,98,1249,尼古拉·特斯拉,6416,104,1104,埃隆·马斯克,6586,86,1542,埃隆·马斯克,6922,105,1899,特斯拉MODEL X,6678,77,1105,特斯拉MODEL S,8356,102,796,特斯拉多少钱,7078,75,771,尼古拉·特斯拉,7240,117,809,特斯拉MODEL S,7158,89,764,特斯拉电动汽车,5584,113,1235,特斯拉MODEL S,8652,122,818,最便宜的特斯拉多少钱,8084,99,1760,特斯拉 MODEL 3,5592,103,821,特斯拉价格,6746,84,1169,特斯拉电动汽车,6242,98,1070,特斯拉跑车,2584.0,95.0,872.0,TESILA,1926,95,637,特斯拉 MODEL 3,4062,98,915,特斯拉 MODEL 3,4378,108,882,特斯拉多少钱,4418,103,644,特斯拉多少钱一辆,6354,89,1648,特斯拉多少钱一辆,5350,84,1346,特斯拉 MODEL 3,3632,91,773,特斯拉多少钱,4496,133,657,TSL,7800,147,972,尼古拉特斯拉,15296.0,106.0,723.0,特斯拉降价,9626.0,15.0,972.0,特斯拉电动汽车价格,8020.0,73.0,2554.0,特斯拉降价,3148.0,69.0,600.0,尼古拉·特斯拉,6880.0,81.0,1459.0,特斯拉降价,6408.0,204.0,940.0,特斯拉多少钱,6236,93,895,特斯拉多少钱一辆,4866,90,686,特斯拉多少钱一辆,6114,126,654,特斯拉电动汽车,3666.0,82.0,956.0,特斯拉Y,4040,93,569,特斯拉电动汽车,4272,138,779,特斯拉多少钱,4706,108,641,TSL,5536,65,583,尼古拉·特斯拉,9082.0,129.0,759.0,特斯拉事件是什么,6868,29,703,特斯拉自动驾驶,4894,111,630,特斯拉中国,2704,107,589,特斯拉自动驾驶,5328,113,740,特斯拉刹车失灵,4454,56,861,特斯拉属于什么档次,4044,45,870,TESLA官网,2070,1137,1325
3,特斯拉MODEL X,5406,101,1093,最便宜的特斯拉多少钱,6508,112,1946,特斯拉MODEL S,6926,94,756,特斯拉3,4574,115,723,特斯拉电动汽车,7410,124,1361,尼古拉·特斯拉,7046,110,1700,特斯拉电动汽车,8280,105,1237,埃隆·马斯克,6834,99,1698,埃隆·马斯克,8378,123,2010,特斯拉MODEL S,7418,89,804,最便宜的特斯拉多少钱,7510,83,2146,埃隆·马斯克,7300,74,1962,特斯拉MODEL X,5966,85,999,埃隆·马斯克,8798,142,2462,特斯拉电动汽车,8160,133,941,埃隆·马斯克,6882,121,2083,埃隆·马斯克,6748,98,2194,埃隆·马斯克,7704,114,2683,特斯拉中国,2902.0,93.0,812.0,特斯拉跑车,2588,100,835,特斯拉价格,5434,82,1138,特斯拉电动汽车,6514,84,1188,特斯拉电动汽车,6482,100,1132,特斯拉电动汽车,6554,101,1038,特斯拉价格,5698,87,1196,特斯拉多少钱一辆,4646,87,1367,特斯拉多少钱一辆,5136,111,833,埃隆·马斯克,10304,121,1918,特斯拉价格,15304.0,138.0,989.0,特斯拉MODEL S,11736.0,80.0,721.0,特斯拉MODEL X,16180.0,91.0,1076.0,特斯拉MODEL X,14842.0,82.0,1179.0,特斯拉价格,9878.0,122.0,1623.0,特斯拉多少钱一辆,6714.0,93.0,601.0,尼古拉·特斯拉,9076,113,1567,特斯拉电动汽车,5366,117,870,特斯拉价格,8314,113,1154,特斯拉Y,4342.0,93.0,639.0,特斯拉价格,6120,80,1193,特斯拉多少钱,4344,97,672,特斯拉价格,6844,114,1178,特斯拉价格,6400,94,1271,特斯拉电动汽车,10432.0,325.0,956.0,特斯拉哪个国家的,7530,29,823,尼古拉·特斯拉,6986,135,1768,特斯拉自动驾驶,4732,97,605,尼古拉·特斯拉,7676,115,2257,特斯拉皮卡,4626,91,659,特斯拉皮卡,4366,94,717,特斯拉跑车,2096,82,1223
4,尼古拉·特斯拉,5516,102,661,特斯拉价格,7626,61,768,最便宜的特斯拉多少钱,7962,122,2712,特斯拉MODEL X,5760,121,966,埃隆·马斯克,7640,118,1691,特斯拉MODEL X,7784,77,1054,特斯拉MODEL X,8666,111,1012,尼古拉·特斯拉,7252,113,1545,特斯拉 MODEL 3,9024,161,689,埃隆·马斯克,7860,94,1865,特斯拉MODEL S,8076,109,840,尼古拉·特斯拉,7450,103,1301,埃隆·马斯克,6200,85,1806,特斯拉多少钱一辆,9168,110,1289,特斯拉多少钱一辆,8918,97,900,特斯拉电动汽车,7024,86,1114,最便宜的特斯拉多少钱,7316,71,1975,特斯拉多少钱一辆,8352,111,1515,特斯拉降价,5568.0,55.0,1021.0,特斯拉中国,2880,99,753,特斯拉多少钱一辆,6300,91,902,尼古拉·特斯拉,6720,93,1716,特斯拉多少钱一辆,7108,106,1562,特斯拉价格,6586,57,1370,特斯拉电动汽车,7536,115,1191,特斯拉价格,5182,91,1077,特斯拉电动汽车,5446,96,1103,特斯拉中国,10532,430,698,特斯拉MODELY降价,27646.0,15708.0,835.0,特斯拉MODEL3售价22万,15482.0,43.0,1755.0,MODEL 3,42432.0,90.0,799.0,尼古拉特斯拉,15564.0,96.0,1107.0,特斯拉MODEL Y,37330.0,90.0,1131.0,尼古拉·特斯拉,8048.0,117.0,1805.0,特斯拉汽车,10204,121,794,特斯拉MODEL3售价22万,7262,54,1418,特斯拉汽车,9056,94,612,特斯拉MODEL3售价22万,4436.0,85.0,1207.0,尼古拉·特斯拉,7858,102,2208,特斯拉价格,5992,98,1072,尼古拉·特斯拉,7152,92,2382,尼古拉·特斯拉,7034,98,1804,尼古拉特斯拉,21432.0,154.0,795.0,特斯拉车,8350,18,627,特斯拉属于什么档次,7164,111,1534,特斯拉属于什么档次,5824,81,1369,特斯拉刹车失灵,8020,74,700,特斯拉MODEL S,6008,99,627,特斯拉MODEL3,4842,87,615,特斯拉属于什么档次,2264,56,1235
5,特斯拉皮卡,5650,146,811,特斯拉电动汽车,8544,111,1189,埃隆·马斯克,8112,94,1765,特斯拉电动汽车,5986,98,1168,特斯拉MODEL S,8564,115,774,特斯拉电动汽车,7906,107,1257,特斯拉MODEL S,8904,108,835,特斯拉MODEL S,8172,92,756,特斯拉多少钱,9406,144,785,最便宜的特斯拉多少钱,9024,74,2669,埃隆·马斯克,9824,125,2098,最便宜的特斯拉多少钱,7516,100,2208,特斯拉 MODEL 3,6600,112,833,特斯拉汽车,11388,117,1054,特斯拉MODEL S,9796,113,772,特斯拉价格,8008,81,1213,特斯拉多少钱一辆,7552,82,1147,特斯拉MODEL S,8912,95,767,特斯拉电动汽车,6552.0,105.0,1119.0,特斯拉降价,3464,62,812,尼古拉·特斯拉,7250,113,2009,特斯拉多少钱一辆,6732,107,1380,尼古拉·特斯拉,7370,110,1911,尼古拉·特斯拉,7188,98,1894,特斯拉MODEL S,7780,105,802,特斯拉电动汽车,5672,75,1155,尼古拉·特斯拉,6446,82,963,特斯拉价格,11096,162,921,埃隆·马斯克,42294.0,410.0,2346.0,MODEL3,21320.0,63.0,649.0,特斯拉官网,52516.0,81.0,2122.0,MODEL 3,35350.0,91.0,623.0,特斯拉官网,39542.0,91.0,3152.0,特斯拉MODEL3售价22万,9902.0,87.0,1433.0,特斯拉MODEL3,10786,102,717,特斯拉价格,7352,66,1031,尼古拉·特斯拉,9158,103,2054,特斯拉自动驾驶,4626.0,123.0,804.0,特斯拉MODEL S,9024,98,690,尼古拉·特斯拉,7778,99,2387,特斯拉MODEL3,9276,102,612,特斯拉汽车,7680,82,890,特斯拉多少钱,24908.0,532.0,613.0,埃隆·马斯克,8814,35,1278,最便宜的特斯拉多少钱一辆,9462,88,2489,尼古拉·特斯拉,6674,96,1979,最便宜的特斯拉多少钱一辆,8178,106,2852,最便宜的特斯拉多少钱一辆,6066,74,1969,特斯拉MODEL S,5074,84,722,特斯拉刹车失灵,2448,78,696
6,最便宜的特斯拉多少钱,5796,86,2093,埃隆·马斯克,8654,140,1821,特斯拉价格,8556,112,872,尼古拉·特斯拉,6174,99,1483,特斯拉MODEL X,10116,176,1127,特斯拉MODEL S,8274,97,736,特斯拉多少钱一辆,9884,102,843,特斯拉电动汽车,8436,102,1200,特斯拉汽车,11272,108,921,特斯拉汽车,10842,96,951,特斯拉汽车,11016,102,1068,特斯拉汽车,10874,99,1002,尼古拉·特斯拉,6926,93,1865,尼古拉·特斯拉,11504,166,3493,特斯拉价格,9840,56,896,特斯拉24.99,8818,33,1060,特斯拉汽车,7902,93,702,特斯拉汽车,9010,114,1088,特斯拉价格,7420.0,82.0,1241.0,特斯拉SUV,3552,102,669,特斯拉MODEL S,7610,98,786,特斯拉价格,6940,128,1242,特斯拉MODEL S,7668,92,740,埃隆·马斯克,7200,72,2391,特斯拉汽车,8390,108,967,特斯拉汽车,6910,82,898,特斯拉价格,6832,132,1301,特斯拉MODEL S,11480,150,709,特斯拉Y,51134.0,88.0,1051.0,埃隆·马斯克,22478.0,53.0,2553.0,MODEL Y,96900.0,83.0,788.0,小鹏,62270.0,96.0,1145.0,小鹏,52540.0,84.0,957.0,特斯拉MODEL3,10566.0,113.0,636.0,特斯拉价格,11102,137,1310,尼古拉·特斯拉,8888,98,1658,特斯拉MODEL S,10548,94,709,尼古拉·特斯拉,7710.0,84.0,1994.0,特斯拉MODEL3,9068,94,588,ROADSTER,7984,177,652,特斯拉MODEL S,9368,94,588,特斯拉MODEL3,8920,96,683,埃隆·马斯克,25162.0,273.0,1970.0,特斯拉MODEL X,11942,78,659,特斯拉MODEL X,10690,90,635,最便宜的特斯拉多少钱一辆,7722,82,3025,特斯拉标志,8650,116,710,尼古拉·特斯拉,6172,80,2215,最便宜的特斯拉多少钱一辆,5232,86,1628,特斯拉标志,3918,101,644
7,埃隆·马斯克,6170,88,1765,特斯拉皮卡,9046,160,1231,CYBERTRUCK,10718,104,881,埃隆·马斯克,6466,80,1662,最便宜的特斯拉多少钱,13884,175,2711,特斯拉和平精英,9512,19,1113,特斯拉汽车,11554,93,864,特斯拉多少钱一辆,9894,100,988,特斯拉电动汽车价格,11716,51,753,特斯拉多少钱一辆,11970,93,1172,特斯拉MODEL3,12114,101,966,特斯拉多少钱一辆,11572,87,1219,特斯拉MODEL S,7086,99,923,特斯拉电池,12294,174,797,特斯拉汽车,10182,89,960,特斯拉多少钱一辆,9202,103,1128,特斯拉MODEL S,9346,100,739,特斯拉价格,9080,135,1363,特斯拉多少钱一辆,7608.0,91.0,1336.0,特斯拉 MODEL 3,4132,86,935,特斯拉电动汽车,7760,112,1102,特斯拉MODEL S,8292,109,765,特斯拉汽车,9984,109,1406,特斯拉MODEL S,7404,97,836,尼古拉·特斯拉,9212,128,1537,特斯拉MODEL S,7022,90,786,特斯拉汽车,7466,108,817,尼古拉特斯拉,14448,97,762,特斯拉狂降16万,76276.0,92.0,1337.0,MODEL 3,47122.0,54.0,820.0,特斯拉MODEL 3,147820.0,98.0,2689.0,,,,,特斯拉股票,119582.0,74.0,726.0,埃隆·马斯克,11986.0,118.0,2192.0,特拉斯,11168,88,702,特斯拉汽车,9634,94,884,特拉斯,11468,107,672,特斯拉MODEL3,9692.0,79.0,654.0,埃隆·马斯克,9726,76,2259,特斯拉汽车,9100,86,906,特斯拉汽车,9378,103,883,特拉斯,9024,97,588,特斯拉价格,38314.0,599.0,1080.0,特斯拉标志,13608,52,675,特斯拉标志,12284,90,758,特斯拉多少钱,8588,70,636,特斯拉MODEL X,8784,95,812,特斯拉多少钱,6648,85,666,尼古拉·特斯拉,5388,87,2458,TSL,5010,105,793
8,特斯拉MODEL S,6682,84,770,CYBERTRUCK,10332,239,829,特拉斯,12132,99,815,特斯拉MODEL S,7426,107,708,特斯拉汽车,14714,122,830,最便宜的特斯拉多少钱,11790,85,2843,最便宜的特斯拉多少钱,11688,99,2810,特斯拉汽车,10464,91,800,最便宜的特斯拉多少钱,12162,114,3405,特斯拉MODEL3,12032,65,822,特斯拉多少钱一辆,13236,111,1176,特斯拉MODEL3,11652,96,917,最便宜的特斯拉多少钱,7884,105,2650,特拉斯,12394,117,776,尼古拉·特斯拉,12800,111,3550,特斯拉MODEL S,9334,95,752,特拉斯,10520,96,857,特斯拉降价,10054,78,1247,埃隆·马斯克,7644.0,99.0,3006.0,TSL,4844,100,627,埃隆·马斯克,7768,123,2532,特斯拉汽车,9168,99,1489,埃隆·马斯克,10004,84,2513,特斯拉汽车,7784,78,984,特拉斯,10360,109,840,尼古拉·特斯拉,7900,86,1458,特斯拉MODEL S,7658,109,981,特斯拉电动汽车价格,15514,79,1664,小鹏,81420.0,130.0,1172.0,特斯拉官网,64688.0,44.0,2268.0,特斯拉股票,148346.0,69.0,834.0,,,,,特斯拉MODEL 3,123474.0,98.0,2742.0,特斯拉MODEL S,12566.0,120.0,661.0,埃隆·马斯克,12350,103,1888,特斯拉MODEL3,10200,95,654,特斯拉MODEL3,12198,120,671,特斯拉汽车,12288.0,136.0,750.0,特拉斯,9984,88,590,特斯拉MODEL3,9136,101,612,埃隆·马斯克,11232,121,1675,埃隆·马斯克,9218,82,1867,特斯拉多少钱一辆,39258.0,904.0,617.0,特斯拉多少钱,16832,68,698,特斯拉多少钱,12334,73,627,特斯拉MODEL X,9230,86,725,特斯拉属于什么档次,9110,156,690,埃隆·马斯克,6776,63,1847,埃隆·马斯克,5572,82,1903,最便宜的特斯拉多少钱一辆,5090,97,2568
9,特斯拉电动汽车,7692,99,1306,特斯拉汽车,11260,119,1024,特斯拉汽车,13350,119,1099,最便宜的特斯拉多少钱,7926,100,1938,尼古拉特斯拉,16068,102,904,特斯拉汽车,12364,84,768,特拉斯,14654,88,1030,最便宜的特斯拉多少钱,10700,92,2976,特斯拉多少钱一辆,12934,131,1421,特拉斯,12202,79,884,特拉斯,13552,111,932,特拉斯,12226,90,946,特斯拉多少钱一辆,8348,72,1288,特斯拉MODEL3,12400,116,769,特拉斯,12878,104,656,最便宜的特斯拉多少钱,10336,128,2603,特斯拉降价,12946,65,1245,特拉斯,10828,103,778,特斯拉汽车,8568.0,95.0,988.0,埃隆·马斯克,6292,82,2370,特斯拉MODEL 3价格,8104,102,604,特拉斯,11118,105,877,特拉斯,11280,101,928,特拉斯,9510,84,968,埃隆·马斯克,11406,158,2551,特拉斯,9176,89,781,埃隆·马斯克,8514,87,2230,特斯拉MODEL3,16212,135,951,MODEL 3,86652.0,109.0,690.0,特斯拉电动轿车价格及图片价格,76672.0,97.0,719.0,蔚来,217684.0,52.0,1675.0,,,,,玛莎拉蒂,269612.0,116.0,659.0,尼古拉特斯拉,18904.0,152.0,1092.0,特斯拉MODEL S,12702,101,797,特拉斯,10728,96,601,埃隆·马斯克,13754,59,2276,特斯拉MODEL X,14544.0,90.0,942.0,特斯拉汽车,10570,86,798,埃隆·马斯克,9296,96,2231,尼古拉特斯拉,14346,83,1152,特斯拉MODEL S,9572,102,737,特斯拉是哪国的品牌,40592.0,19330.0,1445.0,特斯拉价格,21204,55,1252,埃隆·马斯克,12754,145,1824,特斯拉多少钱一辆,9720,45,664,特斯拉汽车,10266,105,638,特斯拉事件,7880,52,1157,特斯拉多少钱,5670,85,661,尼古拉·特斯拉,5348,99,2413
