,年月,销量,月排名,份额,厂商排名,车型排名
27,19-Aug,253,369,0.20%,16,79
28,19-Jul,480,319,0.39%,16,70
29,19-Jun,513,340,0.39%,16,74
30,19-May,235,373,0.18%,16,90
31,19-Apr,410,337,0.33%,15,77
32,19-Mar,723,333,0.49%,14,73
33,19-Feb,479,316,0.49%,14,67
34,19-Jan,970,283,0.58%,12,66
35,18-Dec,164,449,0.12%,15,95
36,18-Nov,1751,253,1.07%,11,61
37,18-Oct,2857,203,1.92%,11,52
38,18-Sep,3853,157,2.49%,9,41
39,18-Aug,3647,147,2.87%,9,36
40,18-Jul,2576,163,2.03%,10,47
41,18-Jun,2918,174,1.99%,10,48
42,18-May,3303,167,2.36%,10,48
43,18-Apr,4107,133,3.13%,9,40
44,18-Mar,3859,163,2.52%,9,45
45,18-Feb,1161,228,1.13%,11,53
46,18-Jan,4837,145,2.70%,9,38
47,17-Dec,5254,161,3.36%,8,42
48,17-Nov,4592,158,2.73%,9,41
49,17-Oct,8431,93,5.18%,9,30
50,17-Sep,6177,114,3.31%,9,37
51,17-Aug,3758,141,2.95%,9,40
52,17-Jul,1383,229,1.25%,9,52
53,17-Jun,2552,187,1.74%,11,46
54,17-May,213,376,0.17%,11,88
55,17-Apr,7213,80,6.19%,8,25
56,17-Mar,6560,100,4.39%,7,32
57,17-Feb,170,330,0.14%,9,80
58,17-Jan,7805,98,4.36%,8,31
59,16-Dec,8440,102,5.10%,7,36
60,16-Nov,1885,242,1.19%,9,67
61,16-Oct,5506,132,3.58%,7,42
62,16-Sep,6984,113,4.79%,7,36
63,16-Aug,4615,127,3.85%,8,38
64,16-Jul,3619,132,3.31%,7,40
65,16-Jun,5716,106,4.71%,7,36
66,16-May,6759,91,5.50%,7,31
67,16-Apr,6815,93,5.64%,7,30
68,16-Mar,5316,122,3.42%,7,39
69,16-Feb,6341,66,5.33%,7,21
70,16-Jan,7278,110,4.10%,7,34
71,15-Dec,4775,145,3.66%,7,42
72,15-Nov,10234,73,6.87%,7,27
73,15-Oct,8589,82,6.70%,7,30
74,15-Sep,8751,70,7.22%,7,26
75,15-Aug,5070,92,4.57%,7,30
76,15-Jul,5827,80,6.87%,7,26
77,15-Jun,4899,99,4.36%,7,32
78,15-May,8865,64,7.26%,6,23
79,15-Apr,6338,84,5.38%,7,28
80,15-Mar,4773,122,3.66%,7,41
81,15-Feb,9364,45,6.64%,7,21
82,15-Jan,16278,34,9.17%,6,18
83,14-Dec,8713,75,9.86%,6,26
84,14-Nov,9272,64,10.07%,6,25
85,14-Oct,10153,56,8.77%,6,21
86,14-Sep,10450,49,8.61%,6,20
87,14-Aug,,38,9.68%,5,17
88,14-Jul,10443,36,9.28%,6,16
89,14-Jun,3658,129,3.33%,6,45
90,14-May,8397,59,6.98%,6,23
91,14-Apr,10899,42,8.70%,5,18
92,14-Mar,,46,8.13%,5,17
93,14-Feb,10695,30,7.50%,6,14
94,14-Jan,11010,44,6.29%,6,17
95,13-Dec,5421,108,5.45%,6,45
96,13-Nov,6404,93,7.48%,6,40
97,13-Oct,8791,54,7.70%,6,24
98,13-Sep,12315,34,10.13%,6,17
99,13-Aug,10247,35,8.89%,6,17
100,13-Jul,8493,45,8.75%,6,21
101,13-Jun,6122,69,5.67%,6,29
102,13-May,2021,154,2.06%,7,56
